order,window_index,row,col,map_class,lon,lat,stratum,wrong,reference_class
217,4581,35,101,2,36.82351824630913,-2.539711206691247,,,
218,86,0,86,2,36.818146054148364,-2.5270453139410596,,,
219,2303,17,127,4,36.832877665312786,-2.5332177593318317,,,
220,9408,73,64,4,36.81019138516356,-2.5534301392318133,,,
221,15412,120,52,2,36.80584772656579,-2.5704187941971965,,,
222,1471,11,63,0,36.80986964085349,-2.5310091286310055,,,
223,15775,123,31,4,36.7982950429489,-2.5714905719973835,,,
224,14540,113,76,2,36.81448159179373,-2.5679023360157673,,,
225,7817,61,9,8,36.79042311400586,-2.549056730696058,,,
226,12722,99,50,4,36.805141558416096,-2.562823573650138,,,
227,16160,126,32,4,36.79865274464585,-2.5725760448196584,,,
228,7756,60,76,4,36.81451405428377,-2.5487364599185525,,,
229,2049,16,1,6,36.78757439493374,-2.5327791408653444,,,
230,4712,36,104,2,36.82459632037866,-2.540074656103927,,,
231,14691,114,99,2,36.82275100447242,-2.568278152659457,,,
232,9805,76,77,2,36.81486384163145,-2.55452300046516,,,
233,6349,49,77,2,36.814880320133625,-2.5447592484931856,,,
234,13912,108,88,2,36.818799448696666,-2.5661016420080798,,,
235,14439,112,103,4,36.824190498958586,-2.5675573709262225,,,
236,15337,119,105,2,36.82490534960958,-2.5700899610347605,,,
237,13731,107,35,2,36.79974319910615,-2.5657071997601593,,,
238,13062,102,6,4,36.789319068584625,-2.563881049887198,,,
239,809,6,41,0,36.801962520803436,-2.529187581428494,,,
240,15782,123,38,2,36.80081198190731,-2.5714949358427104,,,
241,14664,114,72,2,36.81304271597817,-2.568261481837887,,,
242,13886,108,62,4,36.809450765884094,-2.5660855745059235,,,
243,10326,80,86,2,36.818097457210605,-2.5559750160451356,,,
244,4372,34,20,2,36.794394813137124,-2.539299932397745,,,
245,4843,37,107,2,36.825674395738986,-2.5404381051312446,,,
246,6828,53,44,5,36.80301247100404,-2.5461854470932224,,,
247,4228,33,4,0,36.788642599475324,-2.538928432643217,,,
248,5323,41,75,2,36.81416607432682,-2.5418650605643967,,,
249,11653,91,5,8,36.788966336247306,-2.5599026707722445,,,
250,2988,23,44,2,36.80303081550198,-2.535336918718881,,,
251,13657,106,89,2,36.819160240530685,-2.5653790158372853,,,
252,8478,66,30,8,36.79797069668646,-2.550877821332488,,,
253,1343,10,63,0,36.80987024804542,-2.5306475092962173,,,
254,10874,84,122,2,36.8310393463009,-2.557443567190184,,,
255,6753,52,97,2,36.822069695079946,-2.545856347699746,,,
256,3690,28,106,4,36.82532027874912,-2.537182889230031,,,
257,3177,24,105,2,36.82496313681961,-2.5357357894527484,,,
258,6334,49,62,4,36.809486945353314,-2.5447500476499627,,,
259,8601,67,25,8,36.79617229902478,-2.551236341669731,,,
260,6044,47,28,2,36.797263263025975,-2.5440058762234883,,,
261,2004,15,84,4,36.81741787195201,-2.5324684164044404,,,
262,8366,65,46,4,36.80372422677486,-2.55052609240672,,,
263,1263,9,111,0,36.82712953579206,-2.5303150810562367,,,
264,1489,11,81,2,36.81634162625971,-2.5310201054441213,,,
265,15281,119,49,2,36.80476965325225,-2.5700553117737264,,,
266,6833,53,49,4,36.80481025458111,-2.5461885273633045,,,
267,9058,70,98,2,36.82241831068476,-2.552366159465926,,,
268,5203,40,83,4,36.81704314888614,-2.5415083334432027,,,
269,14088,110,8,2,36.79003321653051,-2.5667752129830173,,,
270,6948,54,36,8,36.800135408184424,-2.546542130303571,,,
271,1340,10,60,0,36.808791586849004,-2.5306456769373855,,,
