order,window_index,row,col,map_class,lon,lat,stratum,wrong,reference_class
157,13603,106,35,2,36.79974381747836,-2.565345583086886,1,,
158,10166,79,54,4,36.80659210428141,-2.5555936842212787,1,,
159,15413,120,53,2,36.80620729054291,-2.5704194155110742,1,,
160,2459,19,27,0,36.796920865386966,-2.533880007104325,1,,
161,8124,63,60,4,36.808759269856445,-2.549811484791824,1,,
162,8190,63,126,2,36.83249034585928,-2.549851892780673,1,,
163,13101,102,45,2,36.803341900786435,-2.5639053264277334,1,,
164,8255,64,63,8,36.809837335125295,-2.5501749502650073,1,,
165,13021,101,93,2,36.82060156548549,-2.563573371838876,1,,
166,2579,20,19,0,36.79404384290407,-2.5342366991241483,1,,
167,2787,21,99,2,36.822807598921884,-2.5346472744225528,1,,
168,243,1,115,8,36.828572580531315,-2.5274245122800365,1,,
169,10821,84,69,8,36.81198244988883,-2.5574110349839643,1,,
170,4626,36,18,8,36.79367448068166,-2.540021928768157,1,,
171,800,6,32,6,36.79872656042348,-2.529182064999269,1,,
172,505,3,121,4,36.830728725554906,-2.5281513871960524,1,,
173,7606,59,54,8,36.80660436801791,-2.5483613158103733,1,,
174,12804,100,4,2,36.78860119461016,-2.5631565728653203,1,,
175,3457,27,1,2,36.787567637335115,-2.536756893398556,1,,
176,6905,53,121,2,36.83069857904827,-2.546232604196101,1,,
177,10157,79,45,8,36.80335606802184,-2.5555881219635497,1,,
178,6079,47,63,4,36.80984772397509,-2.544027423237225,1,,
179,5400,42,24,0,36.79582811598533,-2.542195326649068,1,,
180,2583,20,23,0,36.79548204766392,-2.5342391619961586,1,,
181,5329,41,81,4,36.81632342387188,-2.5418687315870803,1,,
182,9171,71,83,2,36.8170242665944,-2.552718583867487,1,,
183,8131,63,67,8,36.811276184247724,-2.5498157913057886,1,,
184,1648,12,112,0,36.82748728680938,-2.5314005575487277,1,,
185,8541,66,93,2,36.820622934041374,-2.5509166091760123,2,,
186,9241,72,25,4,36.7961692183253,-2.5530444210496963,2,,
187,10657,83,33,4,36.79903889863822,-2.557027159103718,2,,
188,15896,124,24,2,36.79577748730751,-2.5718478188398692,2,,
189,15620,122,4,4,36.78858751293889,-2.5711120794476146,2,,
190,9644,75,44,8,36.802998968428085,-2.5541410333203136,2,,
191,12680,99,8,4,36.79004004664565,-2.562797455654264,2,,
192,656,5,16,6,36.792974370902236,-2.5288106227920135,2,,
193,10895,85,15,8,36.79256562218257,-2.557739211809929,2,,
194,4434,34,82,8,36.81668723594408,-2.539337996537582,2,,
195,2790,21,102,8,36.82388627355746,-2.5346490979403025,2,,
196,9083,70,123,2,36.83140741007251,-2.5523814365861424,2,,
197,9114,71,26,8,36.796529391323716,-2.552683424928372,2,,
198,12014,93,110,4,36.8267190727424,-2.5606908355806364,2,,
199,12170,95,10,8,36.79076164298624,-2.561352245439692,2,,
200,4233,33,9,0,36.79044035554492,-2.538931524228471,2,,
201,11442,89,50,4,36.80514771610547,-2.5592073934932564,2,,
202,14838,115,118,2,36.82958219018522,-2.5686514634941955,2,,
203,15604,121,116,2,36.8288593848814,-2.5708199771061535,2,,
204,5681,44,49,5,36.80481576168035,-2.542933965114586,2,,
205,1180,9,28,6,36.797286526850044,-2.5302644594772414,2,,
206,8242,64,50,4,36.80516307216429,-2.5501669421425146,2,,
207,8151,63,87,2,36.81846739169297,-2.549828068411933,2,,
208,1178,9,26,6,36.79656742560885,-2.5302632311769395,2,,
209,14287,111,79,2,36.81556151695487,-2.5671809494862754,2,,
210,9271,72,55,8,36.806955959873186,-2.5530629722879445,2,,
211,8310,64,118,2,36.829613225439076,-2.550208642235162,2,,
212,14280,111,72,2,36.81304456146433,-2.567176622144353,2,,
213,13020,101,92,2,36.82024199994915,-2.5635727562421855,2,,
214,15871,123,127,2,36.83281343469702,-2.571549984680236,2,,
215,12022,93,118,2,36.829595605460106,-2.5606957373751285,2,,
216,11376,88,112,2,36.82744125152612,-2.5588839445150224,2,,
217,5070,39,78,2,36.81524596523058,-2.5411436553687503,2,,
218,8821,68,117,2,36.82925123503082,-2.5516545280205807,2,,
219,10890,85,10,8,36.79076783743356,-2.557736100332119,2,,
220,77,0,77,0,36.81491006386139,-2.527039842713442,2,,
221,13227,103,43,2,36.802622160732746,-2.564265702611269,2,,
222,2660,20,100,5,36.82316776142313,-2.534286259826142,2,,
223,8241,64,49,4,36.8048035140852,-2.5501663254273166,2,,
224,12591,98,47,4,36.80406349035187,-2.562460096263367,2,,
225,14586,113,122,4,36.83102168797582,-2.567930671100769,2,,
226,2756,21,68,4,36.81166134002414,-2.5346283785931294,2,,
227,9426,73,82,2,36.816663483665906,-2.5534412115865925,2,,
228,6728,52,72,2,36.813080697047546,-2.5458410441614667,2,,
229,494,3,110,2,36.82677359067362,-2.528144734649724,2,,
230,9010,70,50,8,36.805159391682416,-2.5523366505914056,2,,
231,2296,17,120,4,36.83036074671822,-2.53321352301396,2,,
232,11279,88,15,4,36.79256376627882,-2.5588240566866376,3,,
233,10192,79,80,2,36.815940693103876,-2.5556097069924086,3,,
234,3741,29,29,8,36.797633851233414,-2.5374974002293,3,,
235,8627,67,51,4,36.80552079078302,-2.5512524132538132,3,,
236,3965,30,125,2,36.832150717418834,-2.5379176705018525,3,,
237,8228,64,36,8,36.80012926700154,-2.550158298954762,3,,
238,8639,67,63,8,36.80983549918751,-2.55125980791031,3,,
239,13150,102,94,2,36.82096051911991,-2.5639356091720757,3,,
240,4813,37,77,8,36.81488762359071,-2.5404198026620928,3,,
241,4740,37,4,0,36.788640138616735,-2.5403748890511446,3,,
242,12301,96,13,4,36.79183969696525,-2.56171573003597,3,,
243,15705,122,89,2,36.81915042331463,-2.571164957846832,3,,
244,13745,107,49,4,36.804777063580644,-2.565715897137158,3,,
245,400,3,16,6,36.79297559349752,-2.528087392338317,3,,
246,15544,121,56,2,36.80728536552301,-2.5707828973254774,3,,
247,13371,104,59,2,36.80837453912845,-2.564637241042904,3,,
248,16114,125,114,2,36.82813779856572,-2.5722652411142026,3,,
249,4343,33,119,2,36.82999154132965,-2.5389989042000454,3,,
250,11733,91,85,2,36.81773116780746,-2.5599522335571763,3,,
251,1052,8,28,6,36.79728713734891,-2.5299028432047117,3,,
252,13513,105,73,2,36.81340781429387,-2.565007520670736,3,,
253,13323,104,11,4,36.79111561916347,-2.56460740002086,3,,
254,10885,85,5,8,36.78897005487966,-2.5577329863263008,3,,
255,693,5,53,0,36.806277753398874,-2.528833305597054,3,,
256,8966,70,6,4,36.78933889244877,-2.5523093965466472,3,,
257,1846,14,54,2,36.80663183393549,-2.532088483696926,3,,
258,12174,95,14,4,36.79219987463456,-2.561354738348193,3,,
259,9828,76,100,2,36.82313378314032,-2.5545371184861034,3,,
260,8347,65,27,8,36.796892642942076,-2.5505143482473143,3,,
261,10766,84,14,8,36.792206683616904,-2.557376974841384,3,,
262,8353,65,33,8,36.79904998179489,-2.550518060861879,3,,
263,7807,60,127,2,36.83285172616423,-2.548767627287183,3,,
264,7630,59,78,2,36.815233784381626,-2.5483760665690354,3,,
265,12668,98,124,2,36.831749966383306,-2.5625075317305224,3,,
266,5133,40,13,8,36.791874260846704,-2.5414652999342264,4,,
267,8312,64,120,2,36.830332353654455,-2.5502098616503655,4,,
268,8208,64,16,8,36.79293814650516,-2.5501459172639906,4,,
269,15569,121,81,2,36.81627450230334,-2.5707983917036694,4,,
270,101,0,101,2,36.823539386895966,-2.5270544146694167,4,,
271,7258,56,90,2,36.81955033706702,-2.547298555426175,4,,
272,11268,88,4,8,36.788608639410015,-2.5588172051900018,4,,
273,8086,63,22,8,36.79509609489028,-2.549788020380415,4,,
274,14417,112,81,2,36.81628003370989,-2.56754380564082,4,,
275,10808,84,56,8,36.80730815403192,-2.557403012007958,4,,
276,11485,89,93,2,36.82060890380111,-2.5592339106565944,4,,
277,7207,56,39,8,36.801212849336295,-2.547267215720916,4,,
278,8221,64,29,8,36.79761237084387,-2.550153969950383,4,,
279,8452,66,4,8,36.788622255339064,-2.550861696964951,4,,
280,16179,126,51,2,36.805484453489676,-2.5725878810185883,4,,
281,8319,64,127,2,36.83284930512389,-2.550214126427329,4,,
282,7832,61,24,8,36.79581643738076,-2.549066027369598,4,,
283,14530,113,66,2,36.81088594298525,-2.5678961477860938,4,,
284,5999,46,111,2,36.82710719206952,-2.5436951496317888,4,,
285,0,0,0,6,36.78722465777566,-2.526992702523096,4,,
286,16102,125,102,2,36.823822966962844,-2.5722578478295555,4,,
287,2567,20,7,2,36.78972923704424,-2.534229300889814,4,,
288,8349,65,29,8,36.79761175554293,-2.5505155861888475,4,,
289,13914,108,90,2,36.819518580574425,-2.5661028751289567,4,,
290,9193,71,105,2,36.82493464487052,-2.5527320662784514,4,,
291,8306,64,114,2,36.828174970043555,-2.5502062021947633,4,,
292,16180,126,52,2,36.80584401798614,-2.5725885029593116,4,,
293,9853,76,125,2,36.832122901903666,-2.5545524035595406,4,,
294,12019,93,115,2,36.828516905043585,-2.560693899961551,4,,
295,9507,74,35,8,36.79976355921603,-2.5537738483830528,4,,
296,7374,57,78,2,36.81523500402947,-2.5476528254882407,4,,
297,6256,48,112,2,36.82746554279095,-2.544419005574137,4,,
298,3664,28,80,3,36.81597176398622,-2.5371670500451016,4,,
299,5539,43,35,5,36.79978259863321,-2.542563728251492,4,,
