part,unit,n_windows,n_errors,confidence @0.05,confidence @0.1,confidence @0.2,"boundary, then confidence @0.05","boundary, then confidence @0.1","boundary, then confidence @0.2","NDWI-ambiguous, then boundary, then confidence @0.05","NDWI-ambiguous, then boundary, then confidence @0.1","NDWI-ambiguous, then boundary, then confidence @0.2","NDWI-ambiguous, then confidence @0.05","NDWI-ambiguous, then confidence @0.1","NDWI-ambiguous, then confidence @0.2"
B,68,225,31,0.2903225806451613,0.45161290322580644,0.7741935483870968,0.2903225806451613,0.45161290322580644,0.7741935483870968,0.2903225806451613,0.5161290322580645,0.8387096774193549,0.2903225806451613,0.5161290322580645,0.8387096774193549
B,69,225,12,0.4166666666666667,0.75,1.0,0.4166666666666667,0.8333333333333334,1.0,0.4166666666666667,0.75,1.0,0.4166666666666667,0.6666666666666666,1.0
B,70,225,23,0.2608695652173913,0.5217391304347826,0.6521739130434783,0.30434782608695654,0.5217391304347826,0.7391304347826086,0.13043478260869565,0.30434782608695654,0.782608695652174,0.13043478260869565,0.2608695652173913,0.782608695652174
B,71,225,11,0.36363636363636365,0.6363636363636364,0.9090909090909091,0.36363636363636365,0.7272727272727273,1.0,0.45454545454545453,0.7272727272727273,1.0,0.45454545454545453,0.7272727272727273,0.9090909090909091
B,72,172,7,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.8571428571428571,0.0,0.2857142857142857,1.0,0.0,0.2857142857142857,1.0
B,74,149,4,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0
B,75,225,147,0.034013605442176874,0.09523809523809523,0.23129251700680273,0.034013605442176874,0.09523809523809523,0.19727891156462585,0.06802721088435375,0.1292517006802721,0.2789115646258503,0.06802721088435375,0.1292517006802721,0.2789115646258503
B,76,225,12,0.5,0.75,1.0,0.5833333333333334,0.9166666666666666,1.0,0.5833333333333334,0.9166666666666666,1.0,0.5833333333333334,0.75,1.0
B,77,225,6,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0
B,78,225,10,0.5,0.8,1.0,0.6,0.9,1.0,0.5,0.9,1.0,0.5,0.9,1.0
B,79,225,8,0.5,1.0,1.0,0.5,1.0,1.0,0.625,1.0,1.0,0.625,1.0,1.0
B,80,225,16,0.3125,0.625,1.0,0.3125,0.6875,0.9375,0.375,0.625,0.9375,0.375,0.625,0.875
B,81,225,19,0.2631578947368421,0.631578947368421,0.9473684210526315,0.2631578947368421,0.631578947368421,0.9473684210526315,0.47368421052631576,0.7368421052631579,0.9473684210526315,0.47368421052631576,0.7368421052631579,0.9473684210526315
B,82,225,35,0.17142857142857143,0.2857142857142857,0.5428571428571428,0.17142857142857143,0.34285714285714286,0.5714285714285714,0.2857142857142857,0.5142857142857142,0.8857142857142857,0.2857142857142857,0.5142857142857142,0.8857142857142857
B,83,225,6,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B,84,225,34,0.17647058823529413,0.29411764705882354,0.5882352941176471,0.14705882352941177,0.29411764705882354,0.6176470588235294,0.11764705882352941,0.2647058823529412,0.35294117647058826,0.11764705882352941,0.2647058823529412,0.35294117647058826
B,85,225,34,0.20588235294117646,0.29411764705882354,0.6176470588235294,0.20588235294117646,0.29411764705882354,0.6470588235294118,0.29411764705882354,0.6176470588235294,0.8823529411764706,0.29411764705882354,0.6176470588235294,0.8823529411764706
B,86,225,105,0.047619047619047616,0.11428571428571428,0.26666666666666666,0.047619047619047616,0.11428571428571428,0.24761904761904763,0.09523809523809523,0.2,0.4095238095238095,0.09523809523809523,0.2,0.4095238095238095
B,87,225,10,0.4,0.7,1.0,0.5,0.9,0.9,0.8,1.0,1.0,0.8,1.0,1.0
B,88,205,37,0.13513513513513514,0.2972972972972973,0.5405405405405406,0.13513513513513514,0.2972972972972973,0.5135135135135135,0.10810810810810811,0.16216216216216217,0.32432432432432434,0.10810810810810811,0.16216216216216217,0.32432432432432434
B,89,225,32,0.25,0.53125,0.875,0.25,0.53125,0.8125,0.28125,0.4375,0.90625,0.28125,0.4375,0.96875
B,90,219,33,0.15151515151515152,0.21212121212121213,0.5757575757575758,0.15151515151515152,0.21212121212121213,0.5757575757575758,0.12121212121212122,0.24242424242424243,0.48484848484848486,0.12121212121212122,0.24242424242424243,0.48484848484848486
B,92,225,11,0.6363636363636364,0.8181818181818182,0.9090909090909091,0.7272727272727273,0.9090909090909091,1.0,0.5454545454545454,1.0,1.0,0.5454545454545454,1.0,1.0
B,93,133,12,0.3333333333333333,0.5833333333333334,0.75,0.3333333333333333,0.5833333333333334,0.9166666666666666,0.3333333333333333,0.5833333333333334,0.8333333333333334,0.3333333333333333,0.5833333333333334,0.8333333333333334
B,94,94,11,0.2727272727272727,0.45454545454545453,0.7272727272727273,0.2727272727272727,0.36363636363636365,0.6363636363636364,0.36363636363636365,0.45454545454545453,0.7272727272727273,0.36363636363636365,0.45454545454545453,0.7272727272727273
B,95,82,5,0.8,1.0,1.0,0.8,0.8,0.8,0.8,1.0,1.0,0.8,1.0,1.0
B,96,211,39,0.1282051282051282,0.23076923076923078,0.4358974358974359,0.15384615384615385,0.2564102564102564,0.5384615384615384,0.28205128205128205,0.41025641025641024,0.717948717948718,0.28205128205128205,0.41025641025641024,0.6666666666666666
B,97,49,19,0.05263157894736842,0.15789473684210525,0.2631578947368421,0.05263157894736842,0.15789473684210525,0.2631578947368421,0.10526315789473684,0.21052631578947367,0.2631578947368421,0.10526315789473684,0.21052631578947367,0.2631578947368421
B,98,224,9,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,0.5555555555555556,0.7777777777777778,1.0,0.5555555555555556,0.6666666666666666,1.0
B,99,28,15,0.0,0.06666666666666667,0.2,0.0,0.06666666666666667,0.2,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.26666666666666666
B,100,225,22,0.36363636363636365,0.5454545454545454,0.7272727272727273,0.36363636363636365,0.5454545454545454,0.7727272727272727,0.36363636363636365,0.5,0.8181818181818182,0.36363636363636365,0.5,0.7727272727272727
B,101,225,4,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0
B,102,225,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B,103,225,7,0.5714285714285714,0.7142857142857143,1.0,0.2857142857142857,0.7142857142857143,1.0,0.2857142857142857,0.7142857142857143,1.0,0.5714285714285714,0.7142857142857143,1.0
B,104,225,28,0.21428571428571427,0.4642857142857143,0.7142857142857143,0.21428571428571427,0.4642857142857143,0.8214285714285714,0.2857142857142857,0.5357142857142857,0.9285714285714286,0.2857142857142857,0.5357142857142857,0.8214285714285714
B,105,225,16,0.3125,0.5625,0.75,0.3125,0.6875,0.9375,0.4375,0.6875,1.0,0.4375,0.625,0.8125
B,106,225,21,0.14285714285714285,0.47619047619047616,0.7142857142857143,0.2857142857142857,0.5238095238095238,0.8571428571428571,0.23809523809523808,0.5238095238095238,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.7142857142857143
B,108,225,34,0.20588235294117646,0.38235294117647056,0.5882352941176471,0.2647058823529412,0.4411764705882353,0.6764705882352942,0.23529411764705882,0.47058823529411764,0.7647058823529411,0.17647058823529413,0.4117647058823529,0.6764705882352942
B,109,225,44,0.09090909090909091,0.18181818181818182,0.3409090909090909,0.09090909090909091,0.18181818181818182,0.38636363636363635,0.25,0.4090909090909091,0.5681818181818182,0.25,0.4090909090909091,0.5681818181818182
B,110,225,56,0.08928571428571429,0.19642857142857142,0.4107142857142857,0.08928571428571429,0.23214285714285715,0.4107142857142857,0.17857142857142858,0.35714285714285715,0.5535714285714286,0.17857142857142858,0.35714285714285715,0.5357142857142857
B,111,225,6,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B,112,225,46,0.15217391304347827,0.2608695652173913,0.391304347826087,0.17391304347826086,0.2826086956521739,0.4782608695652174,0.21739130434782608,0.43478260869565216,0.782608695652174,0.21739130434782608,0.43478260869565216,0.7608695652173914
B,113,225,15,0.2,0.5333333333333333,0.8,0.2,0.5333333333333333,0.8666666666666667,0.6,0.8,1.0,0.6,0.7333333333333333,1.0
B,114,225,15,0.2,0.5333333333333333,1.0,0.3333333333333333,0.6666666666666666,1.0,0.06666666666666667,0.3333333333333333,1.0,0.06666666666666667,0.2,0.9333333333333333
B,115,225,6,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,1.0,1.0
