task,unit,n_windows,n_errors,signal,eaurc,capture@0.05,capture@0.1,capture@0.2
sen1floods11,chip15,256,10,weighted disagreement (selected partner),0.03821323515914219,0.05078125,0.1015625,0.19921875
sen1floods11,chip15,256,10,accuracy-weighted vote (all outside partners),0.03821323515914219,0.05078125,0.1015625,0.19921875
sen1floods11,chip15,256,10,"weighted disagreement (olmoearth_nano, same family)",0.03821323515914219,0.05078125,0.1015625,0.19921875
sen1floods11,chip15,256,10,"weighted disagreement (olmoearth_tiny, same family)",0.03821323515914219,0.05078125,0.1015625,0.19921875
sen1floods11,chip15,256,10,"weighted disagreement (olmoearth_large, same family)",0.03821323515914219,0.05078125,0.1015625,0.19921875
sen1floods11,chip15,256,10,weighted disagreement (galileo_base),0.03821323515914219,0.05078125,0.1015625,0.19921875
sen1floods11,chip15,256,10,weighted disagreement (panopticon),0.03821323515914219,0.05078125,0.1015625,0.19921875
sen1floods11,chip15,256,10,combination conf+weighted disagreement (U+),0.0028128190180519187,0.7,0.8,0.9
sen1floods11,chip16,256,5,confidence (OlmoEarth),0.0004077676827258667,0.8,1.0,1.0
sen1floods11,chip16,256,5,constant score,0.01930116429515615,0.05078125,0.1015625,0.19921875
sen1floods11,chip16,256,5,disagreement (selected partner),0.011749446843650112,0.42142857142857143,0.4523809523809524,0.5119047619047619
sen1floods11,chip16,256,5,weighted disagreement (selected partner),0.011749386295715524,0.42142857142857143,0.4523809523809524,0.5119047619047619
sen1floods11,chip16,256,5,accuracy-weighted vote (all outside partners),0.011749386295715524,0.42142857142857143,0.4523809523809524,0.5119047619047619
sen1floods11,chip16,256,5,"weighted disagreement (olmoearth_nano, same family)",0.011703067125755045,0.4237154150197629,0.4545454545454545,0.5138339920948617
sen1floods11,chip16,256,5,"weighted disagreement (olmoearth_tiny, same family)",0.011749507391584701,0.42142857142857143,0.4523809523809524,0.5119047619047619
sen1floods11,chip16,256,5,"weighted disagreement (olmoearth_large, same family)",0.011687748498304064,0.4237154150197629,0.4545454545454545,0.5138339920948617
sen1floods11,chip16,256,5,weighted disagreement (galileo_base),0.01554780137772355,0.23464566929133857,0.2755905511811024,0.3543307086614173
sen1floods11,chip16,256,5,weighted disagreement (panopticon),0.011703067125755045,0.4237154150197629,0.4545454545454545,0.5138339920948617
sen1floods11,chip16,256,5,combination conf+weighted disagreement (U+),0.0003926367734018506,0.8,1.0,1.0
sen1floods11,chip17,256,8,confidence (OlmoEarth),0.00035171955701269585,0.875,1.0,1.0
sen1floods11,chip17,256,8,constant score,0.030695597090425165,0.05078125,0.1015625,0.19921875
sen1floods11,chip17,256,8,disagreement (selected partner),0.030817667402925165,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip17,256,8,weighted disagreement (selected partner),0.030817667402925165,0.047058823529411764,0.09803921568627451,0.19607843137254902
