arm,signal,n,n_errors,error_rate_naive,error_rate_weighted,excess_aurc_naive,excess_aurc_weighted,capture_05_naive,capture_10_naive,capture_20_naive,capture_05_weighted,capture_10_weighted,capture_20_weighted
purity_0.50,entropy,618,239,0.38673139158576053,0.3729517816480909,0.19887028112411226,0.22484074541428145,0.09623430962343096,0.16736401673640167,0.3138075313807531,0.09474071836548681,0.15102293109119067,0.31492904933184424
purity_0.50,boundary_first,618,239,0.38673139158576053,0.3729517816480909,0.1814886042067062,0.17489038814122215,0.09205020920502092,0.1589958158995816,0.301255230125523,0.09907063389474502,0.15861222993758484,0.27561564422431084
purity_0.50,boundary_only,618,239,0.38673139158576053,0.3729517816480909,0.1927325596398723,0.18841746397500775,0.08842398884239888,0.16736401673640167,0.3104484648476634,0.09176437320639046,0.16521236777007278,0.3029919529142647
purity_0.50,ctl_pixel_variance,618,239,0.38673139158576053,0.3729517816480909,0.23392606285346934,0.2071003217399489,0.06694560669456066,0.1297071129707113,0.2384937238493724,0.09621851242591885,0.15412477366439797,0.26897436911805894
purity_0.50,ctl_class_rarity,618,239,0.38673139158576053,0.3729517816480909,0.2791130920007511,0.17015662210255988,0.08647140864714087,0.1297071129707113,0.20834163511987783,0.12153061967895626,0.23990236001295576,0.2721758579057688
purity_0.50,ctl_polygon_area,618,239,0.38673139158576053,0.3729517816480909,0.2769139067582054,0.2617356244690314,0.06276150627615062,0.11297071129707113,0.20502092050209206,0.09205085926985165,0.14310216176988347,0.252701881776169
purity_0.50,ctl_window_impurity,618,239,0.38673139158576053,0.3729517816480909,0.2658874990936184,0.2715978275092749,0.07650926479378362,0.13867304243873282,0.25774058577405856,0.09591218914944216,0.16642468878564393,0.2798652749453749
purity_0.75,margin,1860,528,0.2838709677419355,0.30458386491482276,0.09843278267701198,0.09768172792753368,0.12121212121212122,0.2178030303030303,0.38636363636363635,0.10892101680314308,0.20349546567793772,0.36633464737776333
purity_0.75,one_minus_top1,1860,528,0.2838709677419355,0.30458386491482276,0.12708545823714423,0.13936248572569834,0.10606060606060606,0.19696969696969696,0.36174242424242425,0.11463008430862716,0.19249439985322722,0.353317816045511
purity_0.75,entropy,1860,528,0.2838709677419355,0.30458386491482276,0.17606798452418138,0.21557578495456617,0.0946969696969697,0.19128787878787878,0.3333333333333333,0.09821945691186795,0.19873568411384032,0.33488819118718827
