part,unit,n_patches,n_errors,signal,aurc,capture@0.05,capture_stable@0.05,gain_vs_confidence@0.05,capture@0.1,capture_stable@0.1,gain_vs_confidence@0.1,capture@0.2,capture_stable@0.2,gain_vs_confidence@0.2,W/L@0.05,W/L@0.1,W/L@0.2
B,bolivia/tile35,148,17,control NDWI level,0.014916232297068507,0.35294117647058826,,0.23529411764705885,0.5882352941176471,,0.29411764705882354,0.8235294117647058,,0.2941176470588235,,,
B,bolivia/tile37,225,13,confidence (baseline),0.009169994745327127,0.23076923076923078,,0.0,0.38461538461538464,,0.0,0.6923076923076923,,0.0,,,
B,bolivia/tile37,225,13,tile-phase (aligned),0.006366440760094947,0.23076923076923078,,0.0,0.6153846153846154,,0.23076923076923078,0.8461538461538461,,0.15384615384615385,,,
B,bolivia/tile37,225,13,boundary indicator,0.002336428595721555,0.7538461538461539,,0.5230769230769232,0.9358974358974359,,0.5512820512820513,1.0,,0.3076923076923077,,,
B,bolivia/tile37,225,13,control NDWI gradient,0.09250342838936945,0.07692307692307693,,-0.15384615384615385,0.15384615384615385,,-0.23076923076923078,0.15384615384615385,,-0.5384615384615384,,,
B,bolivia/tile37,225,13,constant score,0.05777777777777779,0.048888888888888885,,-0.1818803418803419,0.09777777777777777,,-0.28683760683760684,0.2,,-0.4923076923076923,,,
B,bolivia/tile37,225,13,control S2 patch variance,0.003574745852487313,0.46153846153846156,,0.23076923076923078,0.8461538461538461,,0.4615384615384615,1.0,,0.3076923076923077,,,
B,bolivia/tile37,225,13,control NDWI level,0.007887986262856346,0.3076923076923077,,0.07692307692307693,0.5384615384615384,,0.1538461538461538,0.8461538461538461,,0.15384615384615385,,,
B,bolivia/tile38,225,24,confidence (baseline),0.03644334857646947,0.08333333333333333,,0.0,0.3333333333333333,,0.0,0.5416666666666666,,0.0,,,
B,bolivia/tile38,225,24,tile-phase (aligned),0.021357544590737496,0.20833333333333334,,0.125,0.3333333333333333,,0.0,0.6666666666666666,,0.125,,,
B,bolivia/tile38,225,24,boundary indicator,0.015653895378056323,0.3273809523809524,,0.24404761904761907,0.47,,0.13666666666666666,0.7383333333333333,,0.19666666666666666,,,
B,bolivia/tile38,225,24,control NDWI gradient,0.07870982886651764,0.08333333333333333,,0.0,0.25,,-0.08333333333333331,0.5,,-0.04166666666666663,,,
B,bolivia/tile38,225,24,constant score,0.10666666666666667,0.04888888888888889,,-0.03444444444444444,0.09777777777777778,,-0.23555555555555552,0.19999999999999998,,-0.3416666666666667,,,
B,bolivia/tile38,225,24,control S2 patch variance,0.07166246406626699,0.08333333333333333,,0.0,0.125,,-0.20833333333333331,0.20833333333333334,,-0.33333333333333326,,,
B,bolivia/tile38,225,24,control NDWI level,0.028811490300111323,0.16666666666666666,,0.08333333333333333,0.25,,-0.08333333333333331,0.5833333333333334,,0.04166666666666674,,,
B,bolivia/tile39,36,8,confidence (baseline),0.07716610554904114,0.0,,0.0,0.125,,0.0,0.375,,0.0,,,
B,bolivia/tile39,36,8,tile-phase (aligned),0.08305294399904066,0.0,,0.0,0.25,,0.125,0.625,,0.25,,,
B,bolivia/tile39,36,8,boundary indicator,0.06863100779285232,0.15,,0.15,0.2,,0.07500000000000001,0.3333333333333333,,-0.041666666666666685,,,
B,bolivia/tile39,36,8,control NDWI gradient,0.22406785005579705,0.125,,0.125,0.375,,0.25,0.375,,0.0,,,
B,bolivia/tile39,36,8,constant score,0.2222222222222222,0.05555555555555555,,0.05555555555555555,0.1111111111111111,,-0.013888888888888895,0.19444444444444445,,-0.18055555555555555,,,
B,bolivia/tile39,36,8,control S2 patch variance,0.08082526121356144,0.125,,0.125,0.25,,0.125,0.5,,0.125,,,
B,bolivia/tile39,36,8,control NDWI level,0.12219605489928068,0.125,,0.125,0.125,,0.0,0.25,,-0.125,,,
B,bolivia/tile41,52,9,confidence (baseline),0.04332302487536518,0.1111111111111111,,0.0,0.3333333333333333,,0.0,0.7777777777777778,,0.0,,,
B,bolivia/tile41,52,9,tile-phase (aligned),0.0421877897863793,0.2222222222222222,,0.1111111111111111,0.4444444444444444,,0.1111111111111111,0.6666666666666666,,-0.11111111111111116,,,
B,bolivia/tile41,52,9,boundary indicator,0.09988019679916708,0.18518518518518517,,0.07407407407407407,0.3333333333333333,,0.0,0.5714285714285714,,-0.2063492063492064,,,
B,bolivia/tile41,52,9,control NDWI gradient,0.07178856229631915,0.2222222222222222,,0.1111111111111111,0.3333333333333333,,0.0,0.5555555555555556,,-0.2222222222222222,,,
B,bolivia/tile41,52,9,constant score,0.1730769230769231,0.057692307692307696,,-0.05341880341880341,0.09615384615384616,,-0.23717948717948717,0.19230769230769232,,-0.5854700854700855,,,
B,bolivia/tile41,52,9,control S2 patch variance,0.07028482080970987,0.1111111111111111,,0.0,0.2222222222222222,,-0.1111111111111111,0.2222222222222222,,-0.5555555555555556,,,
B,bolivia/tile41,52,9,control NDWI level,0.07762486716420836,0.2222222222222222,,0.1111111111111111,0.2222222222222222,,-0.1111111111111111,0.6666666666666666,,-0.11111111111111116,,,
B,bolivia/tile43,225,6,confidence (baseline),0.0004985560566982681,1.0,,0.0,1.0,,0.0,1.0,,0.0,,,
B,bolivia/tile43,225,6,tile-phase (aligned),0.000640079888234352,1.0,,0.0,1.0,,0.0,1.0,,0.0,,,
B,bolivia/tile43,225,6,boundary indicator,0.022669504802688662,0.19306184012066363,,-0.8069381598793364,0.23453996983408745,,-0.7654600301659126,0.3212669683257919,,-0.6787330316742082,,,
B,bolivia/tile43,225,6,control NDWI gradient,0.007231930864955804,0.0,,-1.0,0.0,,-1.0,0.3333333333333333,,-0.6666666666666667,,,
B,bolivia/tile43,225,6,constant score,0.02666666666666667,0.04888888888888889,,-0.9511111111111111,0.09777777777777778,,-0.9022222222222223,0.19999999999999998,,-0.8,,,
B,bolivia/tile43,225,6,control S2 patch variance,0.0014649333432457884,0.5,,-0.5,1.0,,0.0,1.0,,0.0,,,
B,bolivia/tile43,225,6,control NDWI level,0.0006405379985893262,1.0,,0.0,1.0,,0.0,1.0,,0.0,,,
B,bolivia/tile44,181,23,confidence (baseline),0.030781759458256026,0.17391304347826086,,0.0,0.34782608695652173,,0.0,0.6086956521739131,,0.0,,,
B,bolivia/tile44,181,23,tile-phase (aligned),0.032590345380767105,0.17391304347826086,,0.0,0.34782608695652173,,0.0,0.5217391304347826,,-0.08695652173913049,,,
B,bolivia/tile44,181,23,boundary indicator,0.048398790769895415,0.19875776397515527,,0.0248447204968944,0.30434782608695654,,-0.04347826086956519,0.6167471819645732,,0.00805152979066015,,,
B,bolivia/tile44,181,23,control NDWI gradient,0.13944672179809134,0.043478260869565216,,-0.13043478260869565,0.043478260869565216,,-0.30434782608695654,0.13043478260869565,,-0.4782608695652174,,,
B,bolivia/tile44,181,23,constant score,0.1270718232044199,0.04972375690607735,,-0.1241892865721835,0.0994475138121547,,-0.248378573144367,0.1988950276243094,,-0.40980062454960364,,,
B,bolivia/tile44,181,23,control S2 patch variance,0.12535516708851474,0.043478260869565216,,-0.13043478260869565,0.043478260869565216,,-0.30434782608695654,0.08695652173913043,,-0.5217391304347827,,,
B,bolivia/tile44,181,23,control NDWI level,0.03548820806494783,0.13043478260869565,,-0.043478260869565216,0.34782608695652173,,0.0,0.6086956521739131,,0.0,,,
B,bolivia/tile45,42,16,confidence (baseline),0.42959892483882006,0.0625,,0.0,0.125,,0.0,0.1875,,0.0,,,
B,bolivia/tile45,42,16,tile-phase (aligned),0.3776740630415227,0.0625,,0.0,0.0625,,-0.0625,0.1875,,0.0,,,
B,bolivia/tile45,42,16,boundary indicator,0.319140428402299,0.041666666666666664,,-0.020833333333333336,0.1,,-0.024999999999999994,0.25,,0.0625,,,
B,bolivia/tile45,42,16,control NDWI gradient,0.36273688544676286,0.125,,0.0625,0.1875,,0.0625,0.3125,,0.125,,,
B,bolivia/tile45,42,16,constant score,0.38095238095238093,0.047619047619047616,,-0.014880952380952384,0.09523809523809523,,-0.029761904761904767,0.19047619047619047,,0.0029761904761904656,,,
B,bolivia/tile45,42,16,control S2 patch variance,0.16079421213260653,0.0625,,0.0,0.1875,,0.0625,0.375,,0.1875,,,
B,bolivia/tile45,42,16,control NDWI level,0.1771863671266558,0.0625,,0.0,0.1875,,0.0625,0.375,,0.1875,,,
B,bolivia/tile46,31,18,confidence (baseline),0.6563295467885246,0.05555555555555555,,0.0,0.1111111111111111,,0.0,0.2222222222222222,,0.0,,,
B,bolivia/tile46,31,18,tile-phase (aligned),0.6538319199587905,0.05555555555555555,,0.0,0.1111111111111111,,0.0,0.16666666666666666,,-0.05555555555555555,,,
