part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,identity_max_abs_dp,spearman_vs_confidence,spearman_vs_tile-phase,spearman_vs_boundary,spearman_vs_control,head_acc,n_tiles_scored,W/L_vs_confidence,sign_p_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,W/L_vs_control,sign_p_vs_control
B,bolivia/tile299,225,14,control NDWI gradient,0.014484876851436616,0.012369566673549267,0.06365050790232303,-0.004043832143794796,-0.004400854548580031,-0.00888643920257579,0.0,,,,,,,,,,,,,,,
B,bolivia/tile299,225,14,constant score,0.06222222222222221,0.060106912044334854,0.0,-0.05178117751458038,-0.05213819991936562,-0.056623784573361376,-0.04773734537078558,,,,,,,,,,,,,,,
B,bolivia/tile299,225,14,control S2 patch variance,0.026125804926056123,0.024010494748168774,82.98428856007051,-0.015684760218414303,-0.016041782623199538,-0.0205273672771953,-0.011640928074619507,,,,,,,,,,,,,,,
B,bolivia/tile299,225,14,control NDWI level,0.007448280163339644,0.0053329699854522935,-0.30869684384117696,0.0029927645443021773,0.002635742139516942,-0.0018498425144788172,0.0070365966880969735,,,,,,,,,,,,,,,
B,bolivia/tile299,225,14,dihedral consistency (8 transforms),0.010277723367163675,0.008162413189276324,0.024030420269876535,0.00016332134047814667,-0.00019370106430708842,-0.004679285718302848,0.004207153484272943,,0.9520048461862608,0.8967551622418876,0.6672632936296379,0.7662031184155076,,,,,,,,,,
B,bolivia/tile299,225,14,"boundary first, then confidence",0.007713023484736593,0.005597713306849243,1.2822222222222222,0.002728021222905228,0.002370998818119993,-0.0021145858358757666,0.006771853366700024,,0.9325094816687736,0.925292878213232,0.8463186519124856,0.7970585756426464,,,,,,,,,,
B,bolivia/tile299,225,14,combination conf+dihedral (prereg),0.009845388052979426,0.007730077875092076,0.5,0.0005956566546623946,0.00023863424987715948,-0.0042469504041186,0.004639488798457191,,,,,,,,,,,,,,,
B,bolivia/tile300,225,19,confidence (baseline),0.007812081926215762,0.003954461024194882,-6.837927374309964,0.0,0.005087369965794735,0.019010225410957735,0.005441885550563259,,,,,,,,,,,,,,,
B,bolivia/tile300,225,19,tile-phase (aligned),0.012899451892010498,0.009041830989989617,0.0366856435894038,-0.005087369965794735,0.0,0.013922855445163,0.0003545155847685232,,,,,,,,,,,,,,,
B,bolivia/tile300,225,19,boundary indicator,0.026822307337173498,0.022964686435152617,0.08888888888888889,-0.019010225410957735,-0.013922855445163,0.0,-0.013568339860394477,,,,,,,,,,,,,,,
B,bolivia/tile300,225,19,control NDWI gradient,0.013253967476779021,0.00939634657475814,0.05844272004609831,-0.005441885550563259,-0.0003545155847685232,0.013568339860394477,0.0,,,,,,,,,,,,,,,
B,bolivia/tile300,225,19,constant score,0.08444444444444445,0.08058682354242357,0.0,-0.07663236251822869,-0.07154499255243395,-0.057622137107270946,-0.07119047696766542,,,,,,,,,,,,,,,
B,bolivia/tile300,225,19,control S2 patch variance,0.014977160721096606,0.011119539819075725,53.616662658580104,-0.0071650787948808435,-0.002077708829086108,0.011845146616076892,-0.0017231932443175849,,,,,,,,,,,,,,,
B,bolivia/tile300,225,19,control NDWI level,0.011772006897365435,0.007914385995344555,-0.2635154445842652,-0.003959924971149673,0.0011274449946450625,0.015050300439808062,0.0014819605794135857,,,,,,,,,,,,,,,
B,bolivia/tile300,225,19,dihedral consistency (8 transforms),0.007116436063261239,0.0032588151612403583,0.014234272791274837,0.0006956458629545233,0.005783015828749259,0.019705871273912257,0.006137531413517782,,0.9074273072060686,0.8589032869785086,0.5663488172189975,0.7093352296670877,,,,,,,,,,
B,bolivia/tile300,225,19,"boundary first, then confidence",0.009402207576833563,0.005544586674812682,0.9977777777777778,-0.0015901256506178005,0.003497244315176935,0.017420099760339935,0.003851759899945458,,0.9393594605983987,0.8711799410029497,0.7463924890757503,0.6391150442477871,,,,,,,,,,
B,bolivia/tile300,225,19,combination conf+dihedral (prereg),0.007298994282520522,0.003441373380499641,0.5,0.0005130876436952405,0.0056004576094899755,0.019523313054652977,0.005954973194258499,,,,,,,,,,,,,,,
B,bolivia/tile301,225,14,confidence (baseline),0.006832538681079479,0.004717228503192129,-7.082808070050346,0.0,0.002829004702342086,0.020889010444701137,0.004352695134425126,,,,,,,,,,,,,,,
