part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,head_acc,n_tiles_scored,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,W/L_vs_confidence,sign_p_vs_confidence,spearman_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,spearman_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,spearman_vs_boundary,W/L_vs_control,sign_p_vs_control,spearman_vs_control
B,test/tile351,203,21,control NDWI level,0.042900252044032895,0.03710043348288265,-0.16216300491913246,,,-0.02163330626432992,-0.01987817521401649,-0.0016110180536997032,0.006485003519050958,,,,,,,,,,,,
B,test/tile351,203,21,contradiction (pixel-statistics neighbours),0.06347241359918236,0.05767259503803212,0.21921182266009853,,,-0.042205467819479384,-0.04045033676916596,-0.02218317960884917,-0.014087158036098509,,,0.45510660658444596,,,0.6015457036945083,,,0.5686590506167816,,,0.34734923896326003
B,test/tile351,203,21,contradiction (OlmoEarth neighbours),0.02047996046969564,0.014680141908545396,0.17964901477832512,,,0.0007869853100073362,0.002542116360320767,0.020809273520637554,0.028905295093388215,,,0.7989688449586125,,,0.5897776848162098,,,0.3896859384917189,,,0.2846076593701376
B,test/tile351,203,21,combination conf+pixel contradiction (secondary),0.027616517677259218,0.021816699116108975,0.5,,,-0.006349571897556243,-0.004594440847242812,0.013672716313073974,0.021768737885824636,,,0.8569566776681374,,,0.856258786404327,,,0.6952740576262395,,,0.45787333237887484
B,test/tile352,225,8,confidence (baseline),0.0029736568217459585,0.0022550372889602096,-5.277824942403369,,,0.0,-0.001444693605425905,-0.002040997991035032,0.014398680795911037,,,,,,,,,,,,
B,test/tile352,225,8,tile-phase (aligned),0.0015289632163200532,0.0008103436835343045,0.036898961900442374,,,0.001444693605425905,0.0,-0.0005963043856091271,0.015843374401336943,,,,,,,,,,,,
B,test/tile352,225,8,boundary indicator,0.0009326588307109261,0.00021403929792517744,0.07888888888888888,,,0.002040997991035032,0.0005963043856091271,0.0,0.01643967878694607,,,,,,,,,,,,
B,test/tile352,225,8,control NDWI gradient,0.017372337617656997,0.016653718084871247,0.03901808252034232,,,-0.014398680795911037,-0.015843374401336943,-0.01643967878694607,0.0,,,,,,,,,,,,
B,test/tile352,225,8,constant score,0.035555555555555556,0.034836936022769806,0.0,,,-0.032581898733809594,-0.0340265923392355,-0.03462289672484463,-0.01818321793789856,,,,,,,,,,,,
B,test/tile352,225,8,control S2 patch variance,0.015611078085524541,0.014892458552738793,74.0003051712955,,,-0.012637421263778583,-0.01408211486920449,-0.014678419254813616,0.0017612595321324538,,,,,,,,,,,,
B,test/tile352,225,8,control NDWI level,0.002637800653626378,0.0019191811208406292,-0.29300649388145944,,,0.00033585616811958037,-0.0011088374373063247,-0.0017051418229154518,0.014734536964030617,,,,,,,,,,,,
B,test/tile352,225,8,contradiction (pixel-statistics neighbours),0.0009639755120358983,0.00024535597925014966,0.0661111111111111,,,0.00200968130971006,0.0005649877042841548,-3.1316681324972226e-05,0.016408362105621098,,,0.6757008224793797,,,0.631245728429009,,,0.5144360850569134,,,0.33671312238552825
