year,scene,n_errors,seasonal_fraction,intermittent_fraction,permanent_fraction,seasonal_share_among_errors,seasonal_share_among_correct,intermittent_share_among_errors,intermittent_share_among_correct,error_rate_seasonal,error_rate_nonseasonal,n_errors_nonseasonal,n_errors_seasonal,eaurc_all[baseline],eaurc_nonseasonal[baseline],eaurc_seasonal[baseline],eaurc_all[E_case],eaurc_nonseasonal[E_case],eaurc_seasonal[E_case],eaurc_all[tile-phase (aligned)],eaurc_nonseasonal[tile-phase (aligned)],eaurc_seasonal[tile-phase (aligned)],eaurc_all[boundary],eaurc_nonseasonal[boundary],eaurc_seasonal[boundary],eaurc_all[E_dist],eaurc_nonseasonal[E_dist],eaurc_seasonal[E_dist],eaurc_all[control],eaurc_nonseasonal[control],eaurc_seasonal[control]
2021,cuando_80,155,0.0224609375,0.0458984375,0.0,0.03870967741935484,0.019562715765247412,0.10967741935483871,0.03452243958573072,0.2608695652173913,0.14885114885114886,149,6,0.04086685746339175,0.03494819076420223,nan,0.055543418842714326,0.04534582203876884,nan,0.023033930545297714,0.02117695960364563,nan,0.012702048099447659,0.011595289368598676,nan,0.0449351217365158,0.036093071213239514,nan,0.08916597798010419,0.08938713659821908,nan
2021,delta,51,0.001953125,0.001953125,0.0,0.0196078431372549,0.0010277492291880781,0.0196078431372549,0.0010277492291880781,0.5,0.04892367906066536,50,1,0.026180333136137407,0.026122143566832692,nan,0.04924082482187897,0.04917846377379459,nan,0.0010755896949011796,0.001039377427523709,nan,0.00018642958361579556,0.00018595754077863698,nan,0.012125093207687525,0.011196702949623896,nan,0.014316636162518456,0.014285411809610883,nan
2021,kafue_20,65,0.1337890625,0.1455078125,0.0009765625,0.4461538461538462,0.11261730969760167,0.46153846153846156,0.12408759124087591,0.2116788321167883,0.040586245772266064,36,29,0.013384562895575209,0.00692079947374062,0.04180431759234521,0.011024752854517235,0.007925291858430229,0.024102148858663994,0.0027575501635261597,0.001196697177419226,0.035080315171290774,0.005051072417343581,0.0015203310826396622,0.12192748351395978,0.01948511810963683,0.011791053260448341,0.11252400949277287,0.014069545319860126,0.012041886918097497,0.07295381109980062
2021,kafue_50,68,0.076171875,0.0791015625,0.0,0.5147058823529411,0.04497907949790795,0.5294117647058824,0.04707112970711297,0.44871794871794873,0.03488372093023256,33,35,0.047435284815948116,0.021344652592238316,0.2657177312963254,0.055146083642519585,0.025334204522028045,0.34577453750022485,0.003895909285380943,0.0014253357208120032,0.23459863315227436,0.0025817201053054467,0.0017238872774006002,0.09883168650217991,0.014961835214205469,0.00254291117171348,0.21648069086983485,0.03684032561366595,0.038318979219660126,0.09296845818705307
2021,kafue_80,97,0.0947265625,0.1416015625,0.009765625,0.32989690721649484,0.07011866235167206,0.5876288659793815,0.09492988133764833,0.32989690721649484,0.07011866235167206,65,32,0.0343342030452243,0.026196150375518517,0.026217228848146534,0.02339364704194459,0.010264314314421374,0.02408233354675729,0.015068416967966252,0.00957570468788235,0.06333369667959098,0.02510649292955617,0.015522675109577569,0.13767606982388958,0.036180085132117276,0.021826311622917236,0.053730320650644994,0.008075943762043436,0.005821739813890478,0.0815483279681359
2021,kazungula,19,0.19140625,0.462890625,0.283203125,0.7368421052631579,0.18109452736318407,0.8421052631578947,0.4557213930348259,0.07142857142857142,0.006038647342995169,5,14,0.0005457493369042839,nan,0.006623786303756606,0.0003097788920529212,nan,0.004016254859683294,0.0003484484128650907,nan,0.005836249325906713,0.0003342447584059925,nan,0.004978124372794322,0.0011339192152582324,nan,0.005642731805702395,0.000722878135170444,nan,0.012278677494797153
2021,luangwa_conf,21,0.33203125,0.57421875,0.068359375,0.8095238095238095,0.3220338983050847,1.0,0.5653040877367896,0.05,0.005847953216374269,4,17,0.0016357556335720332,nan,0.003174729612891316,0.0020348429600793414,nan,0.0034791498805050473,0.0011997634021200998,nan,0.0033472200477249314,0.0015178600131174251,nan,0.0023984300032403143,0.002450945292663863,nan,0.003910233646719407,0.005927162624172208,nan,0.01807824429701191
2021,okavango_50,110,0.4619140625,0.59375,0.0615234375,0.34545454545454546,0.4759299781181619,0.7090909090909091,0.5798687089715536,0.080338266384778,0.1306715063520871,72,38,0.12411044167763986,0.16402092279484157,0.07732341164319947,0.16267401820139243,0.20936769524800886,0.10287846241078417,0.10322445186683483,0.14759664406797263,0.04108395968040531,0.03953578728140604,0.057825726358965636,0.019394737884624074,0.10938258303943281,0.13789387878734308,0.08111062909443759,0.039718973618289515,0.0798314986966585,0.01297421850465138
2021,okavango_80,96,0.0634765625,0.0888671875,0.0068359375,0.3020833333333333,0.03879310344827586,0.4166666666666667,0.05495689655172414,0.4461538461538462,0.06986444212721585,67,29,0.09378973046959402,0.06828586426271309,0.3105756574506081,0.0900605490942572,0.05057579767902369,0.3108193388020485,0.006876271045172414,0.004495822907466822,0.16670231314280923,0.0031775091602596877,0.0018223146831498481,0.11454371198733887,0.04836756256074387,0.01879858023102694,0.38051701034899144,0.010719616562079174,0.010457956891980856,0.04953237033447369
2021,okavango_sep,188,0.046875,0.056640625,0.0,0.0,0.05741626794258373,0.015957446808510637,0.06578947368421052,0.0,0.19262295081967212,188,0,0.020459004335474096,0.022705767268518598,nan,0.0014912351846303497,0.0016419484978908994,nan,0.027839488349765983,0.031047932473550137,nan,0.05122044244176619,0.05513089106164549,nan,0.009754325322144396,0.010280982978671388,nan,0.2584602434613924,0.26747822892988476,nan
2021,rovuma_20,55,0.3408203125,0.390625,0.02734375,0.7818181818181819,0.3157894736842105,0.8,0.3673890608875129,0.12320916905444126,0.017777777777777778,12,43,0.00653329301219995,0.0006309810296126578,0.02463770785487411,0.008549312433098482,0.00024124045643110216,0.028154581189500913,0.004089422234096391,0.000282099193892474,0.025900720641455946,0.01000783280562764,0.00011694654230683311,0.04457755879551104,0.010673792008428405,0.002051209353808118,0.05341004934864695,0.011632551510566162,0.003763399468406547,0.04389961859339441
2021,rovuma_50,98,0.3310546875,0.357421875,0.005859375,0.9693877551020408,0.2634989200863931,0.9795918367346939,0.2915766738660907,0.28023598820059,0.004379562043795621,3,95,0.018842818409447785,nan,0.08822145016507235,0.01205710222629848,nan,0.059785490110092106,0.009757558808608124,nan,0.09817334443630577,0.029847758624325045,nan,0.1763611644226784,0.0294689119253949,nan,0.16111493808602426,0.026832516233559207,nan,0.20354946075007904
2021,rovuma_80,32,0.1806640625,0.2470703125,0.07421875,0.5,0.17036290322580644,0.53125,0.23790322580645162,0.08648648648648649,0.01907032181168057,16,16,0.0029752617291871246,0.0007581875046847112,0.016463037053593328,0.0009897370400961535,0.0006212590011187506,0.003785099144585343,0.0007339692617047596,0.0001917146701888888,0.0074878497083992355,0.0011558138407472573,0.0003387073111907903,0.011950373288431824,0.00781394118353323,0.003534006401791259,0.038825584221973,0.0050565772284376555,0.003989093499336469,0.015162522627033999
2021,save_20,42,0.0078125,0.0107421875,0.0,0.11904761904761904,0.003054989816700611,0.14285714285714285,0.0050916496945010185,0.625,0.03641732283464567,37,5,0.02610041859473164,0.019040114034468255,nan,0.04194705004985995,0.031003495370752854,nan,0.0007069411316449674,0.0005663881216731045,nan,0.00019252294739440857,0.00012235069934236767,nan,0.0030389664398596397,0.0027699910468462824,nan,0.020585270085899998,0.020692736123124614,nan
2021,save_50,47,0.2158203125,0.333984375,0.0,0.8297872340425532,0.1862845445240532,0.9148936170212766,0.3060388945752303,0.17647058823529413,0.009962640099626401,8,39,0.003965332582701249,0.0006449392087626267,0.0508675198792035,0.00529415775819673,0.0008896684039486789,0.042695643282921636,0.0046329381435650414,0.0001819525325557868,0.08889829831838589,0.014364358595555514,0.00013441350322218308,0.1322909210218382,0.004937504526289407,0.0009150352262466328,0.06991749200963386,0.08939775202993092,0.015599786255727681,0.29746979620606606
