window,map,axis,rank,period_px,whitened_power,p_bonferroni,matches,harmonic_of,n_bins,n_strips
savuti_north,class_boundary,col,2,8.820568927789935,286.4041403620666,5.53817971878668e-122,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1340,1
savuti_north,class_boundary,col,3,13.21639344262295,247.2719096706094,5.473673628456786e-105,,window 256 px (h=21);window 512 px (h=42);window 512 px (h=43),1340,1
savuti_north,class_boundary,col,4,4.410284463894968,161.53480247581285,9.406573380939918e-68,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1340,1
savuti_north,class_boundary,col,5,3.5297723292469354,159.11330017068755,1.059440416601396e-66,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=40);warp duplication beat (h=3),1340,1
savuti_north,class_boundary,col,6,26.519736842105264,133.41540540128668,1.532958619432726e-55,,window 512 px (h=21),1340,1
savuti_north,class_boundary,col,7,10.607894736842105,132.8770622580186,2.6262126455933866e-55,warp duplication beat,window 256 px (h=27),1340,1
savuti_north,class_boundary,col,8,17.67982456140351,107.99938020644787,1.6732850302511416e-44,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32),1340,1
savuti_north,class_boundary,row,1,5.919236417033774,478.21888433356884,2.7496802251552574e-205,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=47);window 256 px (h=48),1340,1
savuti_north,class_boundary,row,2,8.87885462555066,400.6854397236445,1.2930917693963652e-171,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1340,1
savuti_north,class_boundary,row,3,17.75770925110132,375.37142898064394,1.2745724529417918e-160,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32),1340,1
savuti_north,class_boundary,row,4,4.43942731277533,299.81783228617957,8.277032496393297e-128,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1340,1
savuti_north,class_boundary,row,5,3.5515418502202647,184.48195424596585,1.0176772325805559e-77,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=39);window 128 px (h=40);warp duplication beat (h=3),1340,1
savuti_north,class_boundary,row,6,6.662809917355372,159.4296236593795,7.721452269584101e-67,,window 128 px (h=21);window 256 px (h=42);window 256 px (h=43),1340,1
savuti_north,class_boundary,row,7,4.844951923076923,122.85187546005182,5.932164623077658e-51,,window 128 px (h=29),1340,1
savuti_north,class_boundary,row,8,3.806421152030217,121.9389029333445,1.478128276422292e-50,,window 128 px (h=37),1340,1
savuti_north,change_gradient,col,1,8.820568927789935,153.51206234269455,2.868555238690056e-64,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1340,1
savuti_north,change_gradient,col,2,17.67982456140351,129.79509109430575,5.72549392207824e-54,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32),1340,1
savuti_north,change_gradient,col,3,13.21639344262295,127.55739065570013,5.365792951120576e-53,,window 256 px (h=21);window 512 px (h=42);window 512 px (h=43),1340,1
savuti_north,change_gradient,col,4,10.607894736842105,105.41414690175947,2.2198441482514213e-43,warp duplication beat,window 256 px (h=27),1340,1
savuti_north,change_gradient,col,5,4.410284463894968,93.78340296898789,2.497413153920109e-38,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1340,1
savuti_north,change_gradient,col,6,5.884671532846715,73.20471412605106,2.1612320740311282e-29,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=48),1340,1
savuti_north,change_gradient,col,7,17.602620087336245,70.5973917686239,2.931211234304739e-28,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32),1340,1
savuti_north,change_gradient,col,8,4.816009557945042,52.552171961100946,2.0136616712419505e-20,,window 128 px (h=29),1340,1
savuti_north,change_gradient,row,1,4.43942731277533,100.80850987507394,2.2208807037761227e-41,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1340,1
