part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,bank_scenes,primary_used,spearman_vs_confidence,spearman_vs_tile-phase,spearman_vs_boundary,spearman_vs_control,head_acc,n_tiles_scored,W/L_vs_confidence,sign_p_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,W/L_vs_control,sign_p_vs_control
A,cuando_50,1024,168,control NDWI gradient,0.03158526610926906,0.01724388103998276,0.023217963458822988,0.02206391183576947,-0.003898915849987236,-0.002506485237658538,0.0,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_50,1024,168,constant score,0.1640625,0.1497211149307137,0.0,-0.11041332205496146,-0.13637614974071816,-0.13498371912838947,-0.13247723389073093,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_50,1024,168,control S2 patch variance,0.04123510932147027,0.026893724252183972,69.87776360528892,0.012414068623568256,-0.01354875906218845,-0.012156328449859751,-0.009649843212201213,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_50,1024,168,control NDWI level,0.03327961197869088,0.01893822690940458,-0.27251273935858955,0.02036956596634765,-0.005593261719409055,-0.004200831107080357,-0.0016943458694218191,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_50,1024,168,contradiction (OlmoEarth neighbours),0.020658801831714965,0.006317416762428665,0.089691162109375,0.03299037611332356,0.0070275484275668584,0.008419979039895557,0.010926464277554095,28,contradiction (AnySat local neighbours),0.6270151643783832,0.6625271894279251,0.637328836788878,0.6160344852521722,,,,,,,,,,
A,cuando_50,1024,168,entropy (OlmoEarth neighbours),0.024732187163164457,0.010390802093878156,0.1648007449894954,0.028916990781874072,0.0029541630961173668,0.004346593708446065,0.006853078946104603,28,contradiction (AnySat local neighbours),0.6127534936738748,0.6619418626148911,0.6334568676670014,0.6328435309202579,,,,,,,,,,
A,cuando_50,1024,168,contradiction (pixel-statistics neighbours),0.04350950179170173,0.02916811672241543,0.087432861328125,0.010139676153336798,-0.015823151532419907,-0.014430720920091209,-0.011924235682432671,28,contradiction (AnySat local neighbours),0.5068302748869397,0.6210677930691185,0.619649681090459,0.6401672951436835,,,,,,,,,,
A,cuando_50,1024,168,contradiction (AnySat local neighbours),0.016677997160879653,0.0023366120915933528,0.1087646484375,0.036971180784158876,0.01100835309840217,0.012400783710730869,0.014907268948389406,28,contradiction (AnySat local neighbours),0.5375524348816281,0.6804805652488279,0.7242459639087052,0.6913853112084524,,,,,,,,,,
A,cuando_50,1024,168,entropy (AnySat local neighbours),0.023007726820445797,0.008666341751159497,0.2038286231183307,0.030641451124592732,0.004678623438836026,0.006071054051164725,0.008577539288823263,28,contradiction (AnySat local neighbours),0.5125184108069087,0.6658952003818889,0.7087032485225941,0.6951939536863879,,,,,,,,,,
A,cuando_50,1024,168,"contradiction (AnySat context neighbours, secondary)",0.0143413850692863,0.0,0.175567626953125,0.03930779287575223,0.013344965189995523,0.014737395802324221,0.01724388103998276,28,contradiction (AnySat local neighbours),0.4183485352915287,0.4998635858867745,0.48594287774989786,0.4753298177007863,,,,,,,,,,
A,cuando_50,1024,168,combination conf+AnySat contradiction (prereg),0.023643484975123627,0.009302099905837326,0.5,0.030005692969914902,0.004042865284158197,0.005435295896486895,0.007941781134145433,28,contradiction (AnySat local neighbours),0.9342577505203488,0.8421239180579642,0.6527211785258864,0.6580241931137453,,,,,,,,,,
A,cuando_50,1024,168,weighted 0.75 conf + 0.25 contradiction (secondary),0.035844309824427954,0.021502924755141654,0.5,0.017804868120610575,-0.00815795956514613,-0.006765528952817432,-0.0042590437151588945,28,contradiction (AnySat local neighbours),0.9851120851693188,0.8188856602417843,0.593659504485682,0.599117473570514,,,,,,,,,,
A,cuando_80,1024,61,confidence (baseline),0.007179925640351724,0.005340216731363208,-9.199139595031738,0.0,-0.0021581087379844107,-0.00020214986842663311,0.0020931413584298463,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_80,1024,61,tile-phase (aligned),0.005021816902367314,0.003182107993378797,0.04882505329683659,0.0021581087379844107,0.0,0.0019559588695577776,0.004251250096414257,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_80,1024,61,boundary indicator,0.006977775771925091,0.005138066862936575,0.105712890625,0.00020214986842663311,-0.0019559588695577776,0.0,0.0022952912268564794,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_80,1024,61,control NDWI gradient,0.009273066998781571,0.007433358089793054,0.025855013054160277,-0.0020931413584298463,-0.004251250096414257,-0.0022952912268564794,0.0,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_80,1024,61,constant score,0.0595703125,0.05773060359101148,0.0,-0.05239038685964827,-0.05454849559763268,-0.05259253672807491,-0.050297245501218425,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_80,1024,61,control S2 patch variance,0.011358400573670251,0.009518691664681734,65.70832686405066,-0.004178474933318526,-0.006336583671302937,-0.0043806248017451595,-0.00208533357488868,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_80,1024,61,control NDWI level,0.019792745793629697,0.017953036884641182,-0.19652466199846824,-0.012612820153277974,-0.014770928891262384,-0.012814970021704607,-0.010519678794848128,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_80,1024,61,contradiction (OlmoEarth neighbours),0.003051197819274195,0.0012114889102856786,0.06402587890625,0.004128727821077529,0.0019706190830931186,0.003926577952650896,0.006221869179507376,28,contradiction (AnySat local neighbours),0.7055040507966095,0.6384876750780992,0.5065669260918423,0.3216125469104288,,,,,,,,,,
A,cuando_80,1024,61,entropy (OlmoEarth neighbours),0.0038257046088129468,0.00198599569982443,0.17109981887806514,0.0033542210315387778,0.001196112293554367,0.0031520711631121447,0.005447362389968624,28,contradiction (AnySat local neighbours),0.7038143314765646,0.6375633738050848,0.502304407157821,0.32227964691020905,,,,,,,,,,
A,cuando_80,1024,61,contradiction (pixel-statistics neighbours),0.06318147063951558,0.061341761730527064,0.387542724609375,-0.056001544999163856,-0.058159653737148265,-0.05620369486759049,-0.05390840364073401,28,contradiction (AnySat local neighbours),0.21733689240482232,0.2338001935404677,0.08237101617792394,0.060077071156191195,,,,,,,,,,
A,cuando_80,1024,61,contradiction (AnySat local neighbours),0.0038701592470730636,0.002030450338084547,0.116424560546875,0.003309766393278661,0.0011516576552942502,0.003107616524852028,0.005402907751708507,28,contradiction (AnySat local neighbours),0.5976704860691928,0.5774643202448265,0.4672010350837105,0.3496148104631145,,,,,,,,,,
A,cuando_80,1024,61,entropy (AnySat local neighbours),0.007694393438751776,0.00585468452976326,0.3240594758254133,-0.000514467798400052,-0.0026725765363844627,-0.0007166176668266851,0.0015786735600297943,28,contradiction (AnySat local neighbours),0.5806256287543156,0.5580207188897994,0.43705710774369344,0.3300300795839462,,,,,,,,,,
